stationeri;lb_nr
"115700";"634,633"
"115800";"634"
"115900";"634"
"116000";"634"
"116100";"634,635"
Uden for stationering;"229,233,103,122,101,154,204,203,150,201,238,202,241,128,123,237,110,119,118,116,211,156,121,220,155,147,124,222,561,131,115,218,142,243,114,104,151,140,133,219,225,138,135,234,239,213,117,144,217,240,120,208,214,230,236,145,559,207,224,111,560,125,223,21"
"69000";"424,422"
"69100";"424"
"69200";"424"
"69300";"424"
"69400";"424"
"69500";"424"
"69600";"424"
"69700";"424"
"69800";"424"
"69900";"424"
"70000";"424"
"70100";"424,425"
"53100";"321,347,320"
"53200";"321"
"53300";"321"
"53400";"321"
"53500";"321,322"
"66500";"416"
"66600";"416"
"66700";"416"
"66800";"416"
"75100";"562,503"
"75200";"562,504,503"
"66200";"416"
"66300";"416"
"66400";"416"
"84900";"528,527"
"85000";"528"
"85100";"528"
"85200";"528"
"85300";"528"
"85400";"528"
"85500";"528"
"90700";"540,539"
"90800";"540"
"90900";"540,541"
"91000";"540"
"91100";"540"
"105800";"618,616,617,615"
"57300";"331,329"
"57400";"331"
"57500";"331"
"57600";"331"
"57700";"331"
"57800";"331"
"57900";"331,332"
"88100";"535"
"88200";"535"
"88300";"535"
"74200";"502,501"
"74300";"502"
"74400";"502"
"74500";"502"
"74600";"502"
"74700";"502,503"
"103800";"612,611"
"103900";"612"
"104000";"612"
"104100";"612,611"
"63500";"341,338"
"63600";"341"
"63700";"341,338"
"62800";"338"
"62900";"338"
"63000";"338"
"63100";"338"
"63200";"338"
"63300";"338"
"63400";"338"
"94700";"553,552"
"94800";"553"
"94900";"553"
"95000";"553,554"
"98000";"603,602"
"88000";"535,534"
"101800";"608,607"
"101900";"608"
"102000";"608"
"102100";"608"
"102200";"608"
"102300";"608"
"102400";"608"
"102500";"608,609"
"84400";"527,526"
"84500";"527"
"84600";"527"
"84700";"527"
"84800";"527"
"48600";"309,308"
"48700";"309"
"48800";"309"
"48900";"309"
"49000";"309"
"49100";"309"
"70200";"425"
"70300";"425"
"70400";"425"
"70500";"425"
"70600";"425,424"
"113400";"629,628"
"113500";"629"
"106300";"619,618"
"67700";"421,423"
"67800";"421"
"67900";"421"
"68000";"421"
"68100";"421"
"68200";"421,422"
"95300";"558,553"
"95400";"558"
"95500";"558"
"95600";"558"
"95700";"558"
"95800";"558,552"
"95900";"552"
"96000";"552"
"96100";"552"
"96200";"552,559"
"46000";"302,301"
"46100";"302"
"46200";"302"
"46300";"302"
"46400";"302,303"
"80400";"518,517"
"80500";"518,520"
"79400";"514,512"
"79500";"514"
"79600";"514"
"79700";"514"
"79800";"514"
"79900";"514,516"
"76400";"508,506"
"76500";"508,507"
"93300";"550,549"
"93400";"550"
"93500";"550"
"93600";"550"
"93700";"550,551"
"102800";"610,609"
"102900";"610"
"103000";"610"
"103100";"610"
"103200";"610"
"103300";"610"
"103400";"610"
"103500";"610"
"103600";"610,611"
"65400";"415,412"
"65500";"415"
"65600";"415"
"65700";"415"
"65800";"415"
"65900";"415"
"66000";"415,416"
"113600";"629,630"
"80600";"520"
"80700";"520"
"80800";"520"
"80900";"520,521"
"99800";"606,605"
"99900";"606"
"100000";"606,607"
"52500";"318"
"52600";"318"
"52700";"318"
"52800";"318"
"52900";"318,319,320"
"108800";"622,621"
"108900";"622"
"109000";"622,621"
"109400";"622,621"
"109500";"622,623"
"97000";"561,602"
"86000";"531"
"86100";"531"
"86200";"531"
"86300";"531"
"86400";"531"
"86500";"531"
"86600";"531"
"86700";"531"
"86800";"531"
"86900";"531,532"
"105700";"616,615"
"78900";"513,512"
"79000";"513,512"
"73100";"430,429"
"73200";"430"
"73300";"430"
"73400";"430"
"73500";"430"
"73600";"430"
"111800";"626,625"
"111900";"626"
"112000";"626"
"112100";"626,627"
"60000";"336"
"60100";"336"
"60200";"336"
"60300";"336"
"81600";"521,522"
"81000";"521"
"81100";"521"
"81200";"521"
"81300";"521"
"81400";"521,522"
"46500";"303"
"46600";"303"
"46700";"303"
"46800";"303"
"46900";"303"
"47000";"303,304"
"68300";"422"
"68400";"422"
"68500";"422"
"68600";"422"
"68700";"422"
"68800";"422"
"68900";"422"
"65000";"413,411"
"65100";"413"
"65200";"413,414"
"60700";"336"
"60800";"336"
"60900";"336"
"61000";"336"
"61100";"336"
"61200";"336"
"61300";"336"
"91500";"542,544"
"76000";"503"
"76100";"503"
"76200";"503,505"
"61400";"342,336"
"61500";"342"
"61600";"342"
"61700";"342"
"61800";"342,338"
"52000";"316,315"
"52100";"316"
"52200";"316"
"52300";"316,318,317"
"76300";"505,506"
"55700";"327,326"
"55800";"327"
"55900";"327,328"
"53900";"322"
"54000";"322"
"54100";"322"
"54200";"322"
"55400";"326,325"
"55500";"326"
"55600";"326"
"97800";"603,604"
"97900";"603"
"56000";"328"
"56100";"328"
"56200";"328"
"56300";"328"
"56400";"328"
"56500";"328"
"56600";"328,329"
"56700";"328"
"56800";"328,329"
"111400";"625,624"
"111500";"625"
"111600";"625"
"111700";"625"
"101200";"607"
"101300";"607"
"101400";"607"
"101500";"607"
"101600";"607"
"101700";"607"
"113700";"631,630"
"113800";"631,630"
"60400";"336"
"60500";"336"
"60600";"336"
"91900";"546,544"
"92000";"546"
"64400";"410,406,407,411"
"100100";"607"
"100200";"607"
"64200";"406,405"
"64300";"406"
"80200";"517,516"
"80300";"517"
"85600";"528"
"85700";"528"
"85800";"528"
"85900";"528"
"94000";"551"
"94100";"551,552"
"66100";"416"
"100800";"607"
"100900";"607"
"101000";"607"
"101100";"607"
"83100";"524,523"
"83200";"524"
"83300";"524"
"83400";"524,525"
"47300";"304"
"47400";"304"
"47500";"304"
"47600";"304,305"
"102600";"609"
"102700";"609"
"45300";"239,241"
"45400";"239"
"45500";"239"
"45600";"239"
"45700";"239"
"45800";"239,301"
"45200";"241"
"50500";"313,311"
"50600";"313"
"50700";"313"
"50800";"313"
"50900";"313"
"51000";"313"
"94300";"552"
"94400";"552"
"94500";"552"
"92900";"549,547"
"93000";"549"
"93100";"549"
"93200";"549"
"53600";"322"
"53700";"322"
"53800";"322"
"93800";"551"
"93900";"551"
"51100";"313"
"51200";"313"
"51300";"313"
"51400";"313"
"51500";"313"
"51600";"313"
"51700";"313"
"51800";"313"
"51900";"313,315"
"48200";"308,307"
"48300";"308"
"48400";"308"
"48500";"308"
"63900";"405,338"
"64000";"405"
"64100";"405"
"92100";"546"
"116200";"637,635,636"
"116300";"637"
"78400";"511,509,510"
"78500";"511"
"78600";"511"
"78700";"511"
"78800";"511,512,513"
"112200";"627"
"112300";"627"
"112400";"627"
"112500";"627,628"
"97700";"604,602"
"82000";"521,522"
"82100";"521"
"82200";"521"
"82300";"521"
"82400";"521,563"
"74800";"503"
"74900";"503"
"75000";"503"
"54300";"322"
"54400";"322"
"54500";"322,324"
"98100";"602"
"98200";"602"
"98300";"602"
"98400";"602"
"98500";"602"
"98600";"602"
"98700";"602"
"98800";"602"
"98900";"602"
"99000";"602"
"99100";"602"
"99200";"602"
"99300";"602,605"
"58000";"332"
"58100";"332"
"58200";"332"
"70700";"424"
"70800";"424"
"70900";"424"
"71000";"424"
"71100";"424"
"71200";"424"
"71300";"424,427"
"95100";"553"
"95200";"553"
"88400";"535,536"
"63800";"338"
"88500";"536"
"88600";"536"
"88700";"536"
"88800";"536"
"88900";"536,537"
"105200";"614,613"
"105300";"614"
"105400";"614"
"105500";"614,615"
"87900";"534,533"
"72800";"429,428"
"72900";"429"
"73000";"429"
"73700";"430"
"73800";"430,501"
"103700";"611"
"105900";"615"
"106000";"615"
"106100";"615"
"106200";"615"
"48000";"307,306"
"48100";"307"
"65300";"412,414"
"113900";"630"
"114000";"630"
"114100";"630,632"
"64500";"411"
"64600";"411"
"64700";"411"
"64800";"411"
"64900";"411"
"89000";"536"
"89100";"536,538"
"83500";"525"
"83600";"525"
"83700";"525"
"83800";"525"
"83900";"525"
"84000";"525"
"84100";"525,526"
"91400";"542,540"
"90400";"539,538"
"90500";"539"
"90600";"539"
"100300";"607"
"100400";"607"
"100500";"607"
"100600";"607"
"100700";"607"
"87000";"532"
"87100";"532"
"87200";"532"
"87300";"532"
"87400";"532,533"
"89900";"538"
"90000";"538"
"90100";"538"
"90200";"538"
"90300";"538"
"104200";"611"
"104300";"611"
"104400";"611,613"
"52400";"318"
"82700";"523,563"
"82800";"523"
"82900";"523"
"83000";"523"
"59500";"336,334"
"59600";"336"
"59700";"336"
"59800";"336"
"59900";"336"
"107400";"620,618"
"107500";"620"
"97100";"602"
"97200";"602"
"97300";"602"
"97400";"602"
"97500";"602"
"97600";"602"
"109100";"621"
"109200";"621"
"109300";"621"
"116400";"637"
"116500";"637"
"116505";"637"
"55000";"325,324"
"55100";"325"
"55200";"325"
"55300";"325"
"47100";"304"
"47200";"304"
"47700";"305"
"47800";"305,306"
"91200";"540"
"91300";"540"
"45900";"301"
"109600";"623"
"109700";"623"
"109800";"623"
"109900";"623"
"110000";"623"
"110100";"623"
"110200";"623"
"110300";"623"
"110400";"623"
"110500";"623"
"110600";"623"
"111000";"624,623"
"111100";"624"
"111200";"624"
"111300";"624"
"114200";"632"
"114300";"632"
"114400";"632"
"114500";"632"
"114600";"632"
"114700";"632"
"114800";"632"
"114900";"632"
"115000";"632"
"115100";"632"
"115200";"632"
"115300";"632"
"115400";"632"
"115500";"632,633"
"58300";"333"
"58400";"333"
"58500";"333"
"58600";"333"
"58700";"333,334"
"47900";"306"
"87500";"533"
"87600";"533"
"87700";"533"
"87800";"533"
"76600";"509,507"
"76700";"509"
"76800";"509"
"76900";"509"
"77000";"509"
"77100";"509"
"77200";"509"
"77300";"509"
"77400";"509"
"77500";"509"
"77600";"509"
"77700";"509"
"77800";"509"
"77900";"509"
"78000";"509"
"78100";"509"
"78200";"509"
"78300";"509"
"115600";"633"
"73900";"501"
"74000";"501"
"74100";"501"
"61900";"338"
"62000";"338"
"62100";"338"
"62200";"338"
"62300";"338"
"62400";"338"
"62500";"338"
"62600";"338"
"62700";"338"
"56900";"329"
"57000";"329"
"57100";"329"
"57200";"329"
"81500";"522"
"81700";"522"
"81800";"522"
"81900";"522"
"89200";"538"
"89300";"538"
"89400";"538"
"89500";"538"
"89600";"538"
"89700";"538"
"89800";"538"
"91600";"544"
"91700";"544"
"91800";"544"
"94600";"552"
"112600";"628"
"112700";"628"
"112800";"628"
"112900";"628"
"113000";"628"
"113100";"628"
"113200";"628"
"113300";"628"
"105000";"613"
"105100";"613"
"59100";"334"
"59200";"334"
"110700";"623"
"49800";"311,309"
"49900";"311"
"50000";"311"
"50100";"311"
"50200";"311"
"50300";"311"
"50400";"311"
"79100";"512"
"79200";"512"
"79300";"512"
"107600";"620"
"107700";"620"
"107800";"620"
"107900";"620"
"108000";"620,621"
"92200";"546"
"92300";"546"
"92400";"546,547"
"108100";"621"
"108200";"621"
"108300";"621"
"108400";"621"
"108500";"621"
"108600";"621"
"108700";"621"
"75400";"503"
"75500";"503"
"75600";"503"
"75700";"503"
"75800";"503"
"75900";"503"
"75300";"503"
"105600";"615"
"104500";"613"
"104600";"613"
"104700";"613"
"104800";"613"
"104900";"613"
"106400";"618"
"106500";"618"
"106600";"618"
"106700";"618"
"106800";"618"
"106900";"618"
"107000";"618"
"107100";"618"
"107200";"618"
"107300";"618"
"59300";"334"
"59400";"334"
"110800";"623"
"110900";"623"
"54600";"324"
"54700";"324"
"54800";"324"
"54900";"324"
"58800";"334"
"58900";"334"
"59000";"334"
"99400";"605"
"99500";"605"
"99600";"605"
"99700";"605"
"67300";"423"
"67400";"423"
"67500";"423"
"67600";"423"
"72500";"428,427"
"72600";"428"
"72700";"428"
"92500";"547"
"92600";"547"
"92700";"547"
"92800";"547"
"53000";"320"
"84200";"526"
"84300";"526"
"94200";"552"
"80000";"516"
"80100";"516"
"49200";"309"
"49300";"309"
"49400";"309"
"49500";"309"
"49600";"309"
"49700";"309"
"71400";"427"
"71500";"427"
"71600";"427"
"71700";"427"
"71800";"427"
"71900";"427"
"72000";"427"
"72100";"427"
"72200";"427"
"72300";"427"
"72400";"427"
"82500";"563"
"82600";"563"
"66900";Berører ikke Jordejer
"67000";Berører ikke Jordejer
"67100";Berører ikke Jordejer
"67200";Berører ikke Jordejer
